run,label,direction,kind,bytes,mode,workers,trial,persistence,request_bytes,split_min_bytes,elapsed_seconds,status,verified,control_ready_seconds,planning_complete_seconds,workers_complete_seconds,worker_startup_min_seconds,worker_startup_max_seconds,range_requests,streaming_ranges,streamed_blocks,stream_discarded_bytes,stream_shrink_requests,small_batches,local_whole_files
streaming-sehb4hxv,local-large-auto-p4-j1-r3,local,large,33554432,auto-p4,1,3,off,4194304,33554432,0.07857741601765156,ok,True,0.0,0.01,0.06,0.01,0.01,8,0,0,0,0,0,0
streaming-sehb4hxv,local-large-auto-streaming-j1-r3,local,large,33554432,auto-streaming,1,3,off,4194304,33554432,0.07739295903593302,ok,True,0.0,0.01,0.06,0.01,0.01,0,1,8,0,0,0,0
streaming-sehb4hxv,local-large-auto-p16-j8-r3,local,large,33554432,auto-p16,8,3,off,4194304,33554432,0.07783958315849304,ok,True,0.0,0.01,0.06,0.01,0.01,8,0,0,0,0,0,0
streaming-sehb4hxv,local-large-auto-p4-j8-r3,local,large,33554432,auto-p4,8,3,off,4194304,33554432,0.07693233294412494,ok,True,0.0,0.01,0.06,0.01,0.01,8,0,0,0,0,0,0
streaming-sehb4hxv,local-large-auto-streaming-j8-r3,local,large,33554432,auto-streaming,8,3,off,4194304,33554432,0.07085858285427094,ok,True,0.0,0.01,0.05,0.01,0.01,0,1,8,0,0,0,0
streaming-sehb4hxv,local-small-auto-p16-j1-r3,local,small,8388608,auto-p16,1,3,off,4194304,33554432,0.245172708760947,ok,True,0.0,0.02,0.23,0.01,0.01,0,0,0,0,0,8,0
streaming-sehb4hxv,local-small-auto-p4-j1-r3,local,small,8388608,auto-p4,1,3,off,4194304,33554432,0.23583087464794517,ok,True,0.0,0.02,0.22,0.01,0.01,0,0,0,0,0,8,0
streaming-sehb4hxv,local-small-auto-streaming-j1-r3,local,small,8388608,auto-streaming,1,3,off,4194304,33554432,0.2332494161091745,ok,True,0.0,0.02,0.22,0.01,0.01,0,0,0,0,0,8,0
streaming-sehb4hxv,local-small-auto-p16-j8-r3,local,small,8388608,auto-p16,8,3,off,4194304,33554432,0.1250302498228848,ok,True,0.0,0.02,0.12,0.01,0.01,0,0,0,0,0,8,0
streaming-sehb4hxv,local-small-auto-p4-j8-r3,local,small,8388608,auto-p4,8,3,off,4194304,33554432,0.12912499997764826,ok,True,0.0,0.02,0.12,0.01,0.01,0,0,0,0,0,8,0
